Plant,SaleMan,Customer,Item,Description,ค่าเผื่อ,Back Order,Safety,สต็อก,มีพีโอ,เกินพีโอ,ผลิตล่าสุด,ขายล่าสุด,อายุ,Reason (ที่มา),Action (วิธีการ),Remarks,Commit Date,Planning Remarks
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-51084-100-00-1012-1,กระสอบสานใสไม่พิมพ์ 51*84 ซม.(20x33นิ้ว),#DIV/0!,"30,000","30,000","39,959","39,959",0,03/02/2026,17/02/2026,ไม่เกิน 30 วัน,,,,, ตัดเกินยอดสั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-51084-200-00-1074-1,กระสอบสานใสไม่พิมพ์ 51*84 ซม.(20x33นิ้ว),#DIV/0!,"15,000",,"15,000","15,000",0,05/01/2026,12/01/2026,1 เดือน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-58064-200-00-1023-1,กระสอบใส Master 23x25 นิ้ว 5x5 กก.,#DIV/0!,"6,000",,"6,000","6,000",0,28/08/2025,22/08/2025,5-6 เดือน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,, ของจริงในคลังไม่มี คลังคอมบายยอดเบิ้ล
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-58091-100-00-1095-1,กระสอบใสไซส์58x91เบลน้ำเงิน,#DIV/0!,"25,000",,"25,000","25,000",0,15/02/2026,24/12/2025,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-58097-100-00-1083-1,กระสอบใสไซส์58x97เบลน้ำเงิน,#DIV/0!,,,500,0,500,04/02/2026,05/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-58099-100-00-1033-1,กระสอบทอสานใสไม่พิมพ์ 23x39 นิ้ว,#DIV/0!,"5,000","5,000","9,900","9,900",0,20/12/2025,31/01/2026,2-4 เดือน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-58111-100-00-1093-1,กระสอบทอสานใสไม่พิมพ์ 58x111 ซม.,-1,,"5,000","4,950","4,950",0,08/11/2025,20/10/2025,2-4 เดือน,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,2. กลุ่มสต๊อคเชฟตี้ ติดตามพีโอเพื่อส่งมอบสินค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-31046-100-00-0723-1,"กระสอบขาว 5kg(12x18"")",,"5,000",,"5,000","5,000",0,09/02/2026,18/02/2026,ไม่เกิน 30 วัน,17. ผลิตเกินค่า ( 0/-0),,,, ผลิตตัดเกิน Job สั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-41061-100-00-1344-1,กระสอบสานขาว 41x61 ซม.,#DIV/0!,"60,000",,"36,000","36,000",0,20/02/2026,17/01/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-41064-100-00-0458-1,กระสอบขาวขนาด 41x64,#DIV/0!,,"40,000","28,000","28,000",0,29/11/2025,19/01/2026,2-4 เดือน,17. ผลิตเกินค่า ( 0/-0),,,,ผลิตเกินออเดอร์
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-41064-100-00-0731-1,กระสอบขาว 16x25 นิ้ว,-1,"180,000","150,000",922,922,0,11/02/2026,13/02/2026,ไม่เกิน 30 วัน,21. งานผลิตอยู่ในค่าเผื่อ แต่ขายเกินไม่ได้,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-41064-100-00-1323-1,กระสอบขาว 16*25นิ้ว(41x64cm),-1,,,200,0,200,16/01/2026,19/01/2026,1 เดือน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-46064-100-00-1341-1,กระสอบขาว 46x64 ซม.,#DIV/0!,"5,000",,"5,000","5,000",0,28/01/2026,31/01/2026,ไม่เกิน 30 วัน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-46067-100-10-1115-1,กส.ขาว 46x67 ซม. สวมถุงใน,#DIV/0!,"25,000","30,000","5,000","5,000",0,20/01/2026,24/01/2026,1 เดือน,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,2. กลุ่มสต๊อคเชฟตี้ ติดตามพีโอเพื่อส่งมอบสินค้า,,, ตัดเกินจำนวนสั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-46076-100-00-0715-1,กระสอบขาว 46x76 ซม.,-1,"238,000","100,000","14,667","14,667",0,14/02/2026,20/02/2026,ไม่เกิน 30 วัน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,, สั่งผลิตเกิน
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-46076-100-10-1052-1,กส.ขาวไม่พิมพ์ สามถุงใน 650D,#DIV/0!,"5,000",,"2,000","2,000",0,19/02/2026,09/01/2026,ไม่เกิน 30 วัน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-46078-100-00-0612-1,กระสอบขาวบรรจุแป้ง 46*78 cm,,,,599,0,599,13/02/2023,08/03/2024,เกินปี,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,บจ. อินเทคค์ ฟลาวมิลล์ ตุณวันชัย : รอ PO ใหม่,25/04/2026 0:00, สั่งผลิตเกินออเดอร์
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-46078-100-00-1027-1,กส.ขาวบรรจุแป้ง 46*78 cm ตัดฟันฉลาม,-1,,"20,000","14,337","14,337",0,02/02/2026,14/02/2026,ไม่เกิน 30 วัน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,28/02/2022 0:00,ผลิตเกินออเดอร์
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-46079-100-00-1406-1,กระสอบแป้ง 46x79 ซม. ตัดปากฉลาม,-1,,,45,0,45,29/09/2025,29/09/2025,5-6 เดือน,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,บจ. บางกอก ฟลาว มิลล์ คุณวรพล : รอ Po ใหม่ เดือน มี.ค. ,30/03/2026 0:00,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-46090-201-00-1298-1,กระสอบน้ำเเข็ง 46x90 ซม.,#DIV/0!,"5,000",,50,50,0,22/09/2025,25/09/2025,5-6 เดือน,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,โรงงาน้ำแข็งอภิชัย คุณรณชัย : ลูกค้าสั่งเป็นซีซั่นครับ ประมาณเดือน 3/5/9/12,31/03/2026 0:00,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-46091-100-00-1149-1,กระสอบขาวไม่พิมพ์ 18x36 นิ้ว,-1,"5,000","5,000","10,000","10,000",0,18/02/2026,18/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-48076-100-00-1357-1,กระสอบแป้ง 48x76 ซม. สปัน,#DIV/0!,,,450,0,450,01/07/2025,06/08/2025,7-8 เดือน,31.งานตีกลับผลิตของใหม่ทดแทน,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,บมจ. ยูไนเต็ดฟลาวมิลล์ คุณจตุระ : รอ PO ใหม่,15/03/2026 0:00,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-48076-100-00-1370-1,กระสอบแป้งขาวไม่พิมพ์ 19x30 นิ้ว,#DIV/0!,,,10,0,10,05/02/2026,11/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-48080-100-00-0603-1,กส.ทอสานขาว 48x80,+5/-5 **ดูใน Long Description**,"10,000","20,000","1,817","1,817",0,31/01/2026,14/02/2026,ไม่เกิน 30 วัน,12. มีพีโอ ลูกค้ายังไม่รับสินค้า,,,, สั่งผลิตเผื่อของเสีย
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-48089-100-00-0644s1,"กระสอบพลาสติก 30 กก. 19""x35"" App",#DIV/0!,"4,000","10,000","9,590","9,590",0,02/11/2025,02/02/2026,2-4 เดือน,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,2. กลุ่มสต๊อคเชฟตี้ ติดตามพีโอเพื่อส่งมอบสินค้า,,, มีการปรับลด safety stock จาก 10000 ใบเหลือ 5000 ใบ
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51075-101-00-0609-1,กระสอบขาว 20x29 นิ้ว เย็บวนปากถุง,+0/-0 **ดูใน Long Description**,,,47,0,47,02/10/2023,02/10/2023,เกินปี,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,7. ขายเกรดบี,บจ.สยามโปรดักส์(1994) คุณปิยะวัฒน์ : ไม่ได้ใช้แล้วเนื่องจากลูกค้าปิดกิจการแล้ว,31/01/2026 0:00, ตัดเกิน job สั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51076-100-10-1197-1,กระสอบขาวสวมถุงใน 51x76 Spec 650D,#DIV/0!,"10,000",,"10,000","10,000",0,18/02/2026,19/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51079-100-00-0811-1,กระสอบขาวแถบใสหน้าหลังขนาด 20x31 นิ้ว,,"30,000","50,000","17,687","17,687",0,25/12/2025,27/01/2026,1 เดือน,,,,, ผลิตตัดเกิน job
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51081-100-00-1256-1,"กระสอบขาวไม่พิมพ์ 25กก.(20x32"")",#DIV/0!,,,250,0,250,22/10/2024,23/10/2024,เกินปี,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,หจก. โรงสีข้าวกิจอุดม คุณปิยะวัฒน์ : รอ PO เรียกเข้าช่วง ต.ค. 69,31/10/2026 0:00,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51081-101-00-0276-1,กระสอบน้ำแข็ง 20x32นิ้ว เย็บวนปาก,#DIV/0!,,,"1,200",0,"1,200",31/03/2024,01/04/2024,เกินปี,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,7. ขายเกรดบี,บจ. ควอลิตี้ เฟล็คแพ็ค คุณกิตติวัฒน์ : คาดว่าน่าจะเป็นไอเท็มเข้าคลังหลังส่งของครับ ปัจจุบันไม่ได้ใช่แล้ว,31/01/2026 0:00, สั่งผลิตเกิน
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51089-100-00-1319-1,"4SOTX0009A Lถุงเสื่อสานขนาด 20""x35""",#DIV/0!,"60,000",,"20,000","20,000",0,20/02/2026,03/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51091-100-00-0666-1,กระสอบขาวขนาด 51x91,#DIV/0!,,"40,000","39,532","39,532",0,16/11/2025,17/11/2025,2-4 เดือน,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,2. กลุ่มสต๊อคเชฟตี้ ติดตามพีโอเพื่อส่งมอบสินค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51091-100-00-0714-1,กส.ขาว 51x91 ซม.,-1,"90,000","150,000","110,428","110,428",0,18/02/2026,13/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51091-100-10-0819-1,กระสอบขาว 20x36 นิ้ว สวมถุงใน,#DIV/0!,"3,000",,"3,000","3,000",0,19/04/2023,05/02/2025,เกินปี,12. มีพีโอ ลูกค้ายังไม่รับสินค้า,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51094-100-00-0733-1,กระสอบทอสานขาวแบบไม่พิมพ์,#DIV/0!,,,"10,000",0,"10,000",12/11/2024,19/11/2024,เกินปี,27.สั่งผลิตเกิน,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,บริษัท เนเชอรัล ซัพพลาย 2000 จำกัด คุณดุสิต : รอ  ล/ค ยืนยันภายในวันที่ 6/2/69,30/03/2026 0:00,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51094-100-00-1266-1,กส.ขาว 20x37 นิ้ว (51x94 ซม.),#DIV/0!,"10,000","10,000","20,000","20,000",0,06/01/2026,24/12/2025,1 เดือน,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,2. กลุ่มสต๊อคเชฟตี้ ติดตามพีโอเพื่อส่งมอบสินค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51096-100-00-0404-1,กระสอบสานขาว 1111 750D,,243,,243,243,0,26/06/2025,13/02/2026,7-8 เดือน,12. มีพีโอ ลูกค้ายังไม่รับสินค้า,1. มีพีโอผลักดันส่งมอบลูกค้า,ถุงฟาร์ม CPF ประมูลได้ที่อื่น ต้องรอดูการประมูลรอบหน้าเดือน มกราคม 2569 : แจ้งขอเคลียร์สต๊อกแล้วแต่ลูกค้ายังไม่เปิดมา,30/03/2026 0:00,แปลง Item ขายทยอยเปิด PO
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-51096-100-10-0947-1,กส.ขาว 51x96 600D ถุงใน,#DIV/0!,,,900,0,900,26/01/2026,26/01/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-53084-100-00-1028-1,ทอสานไม่พิมพ์ 53x84 JR13 (มัดพับ),-1,"40,000","20,000","59,920","59,920",0,29/08/2025,15/01/2026,5-6 เดือน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,, ตัดเกินยอดสั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-53091-100-00-0706-1,กระสอบขาว  53x91,#DIV/0!,,,297,0,297,09/08/2022,28/01/2026,เกินปี,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,7. ขายเกรดบี,บจ. ลี้แปะม้อ คุณดุสิต : ลูกค้าไม่รับ,04/02/2026 0:00, ตัดเกินจำนวนสั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-53092-100-00-0384-1,กระสอบทอสานขาว,#DIV/0!,"305,000","500,000","307,076","307,076",0,18/10/2025,19/02/2026,5-6 เดือน,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,2. กลุ่มสต๊อคเชฟตี้ ติดตามพีโอเพื่อส่งมอบสินค้า,,,"ผลิตตัดเกินยอดสั่งผลิต รอขายรอบหน้ายังมีออเดอร์มาต่อเนื่อง เฉลี่ยเดือนละ 200,000 ใบ"
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-53092-100-10-0828-1,กระสอบทอสานขาว 53x92 ซม.สวมถุงใน,#DIV/0!,"50,000",,"1,619","1,619",0,18/02/2026,19/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-53094-100-00-0613-1,กระสอบสานขาว 53*94 CM,#DIV/0!,"13,942","50,000","62,783","62,783",0,20/02/2026,20/01/2026,ไม่เกิน 30 วัน,17. ผลิตเกินค่า (+0/-0),,,, ตัดเกินยอดสั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-53094-100-00-1375-E,กส.ขาวบรรจุแป้ง 30กก(บรรจุออโต้ห้ามพับ),-1,,,223,0,223,31/01/2026,03/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-53094-100-10-0514-1,กระสอบสานสีขาว 53X94 สอดถุงใน,#DIV/0!,,,150,0,150,07/02/2026,07/02/2026,ไม่เกิน 30 วัน,,,,, สั่งผลิตเผื่อของเสีย
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-53102-20E-10-1046-1,กระสอบสานขาว 30 กก. AT,-1,,,275,0,275,10/11/2025,12/11/2025,2-4 เดือน,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,บจ. ชอไชยวัฒน์ อุตสาหกรรม คุณนครินทร์ : รอ PO ใหม่ ขายเดือน เม.ย.,30/04/2026 0:00,"safety stcok 30,000 บถุกยกเลิก ติดตามฝ่ายขาย key safety stock มารองรับ"
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-55094-100-00-1262-1,กระสอบขาว 55x94 ซม.,#DIV/0!,,,500,0,500,08/11/2023,13/11/2023,เกินปี,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,หจก. กิ่งผา พาณิชน์ไพศาล คุณภาณุพศ : รอ PO ใหม่ เดือน ก.ค.,30/07/2026 0:00, ผลิตตัดเกิน job
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58066-100-00-1407-1,กระสอบขาว 58x66 ซม.,#DIV/0!,,"10,000","10,000","10,000",0,17/12/2025,17/12/2025,2-4 เดือน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58086-100-00-1200-1,กระสอบสานขาว 58x86 ซม.,#DIV/0!,,,100,0,100,09/07/2025,31/07/2025,7-8 เดือน,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,,บจ.เจริญโภคภัณฑ์โปรดิ้วส คุณศตวาาษ,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58086-100-00-1234-1,กระสอบขาว 58x86cm 650D,#DIV/0!,"8,000",,"8,000","8,000",0,12/08/2025,19/04/2025,7-8 เดือน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58092-100-00-1235-1,กระสอบขาว 58x92 ซม.,+0/-0 บรรจุข้าว ต้อง Drop Test,,,"147,858",0,"147,858",14/08/2025,13/02/2026,7-8 เดือน,13. อื่นๆ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,กระสอบสั้นจากจีน,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58094-100-00-0697-1,กระสอบขาว 23x37,+0/-0 บรรจุข้าว ต้อง Drop Test,"100,000","700,000","39,563","39,563",0,20/02/2026,18/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58094-100-00-1320-1,"4SOTX0010A Lถุงเสื่อสานขนาด 23""x37""",+0/-0 บรรจุข้าว ต้อง Drop Test,"30,000","20,000","49,906","49,906",0,18/02/2026,17/02/2026,ไม่เกิน 30 วัน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58094-100-00-1396-1,กระสอบขาว 58x94 ซม.,#DIV/0!,"10,000",,"10,000","10,000",0,19/02/2026,31/01/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58094-200-00-0462-1,กระสอบขาวขนาด 58x94 เย็บก้น 2 เส้น,#DIV/0!,,"10,000","10,000","10,000",0,18/01/2026,12/01/2026,1 เดือน,17. ผลิตเกินค่า ( 0/-0),,,, ตัดเกินยอดสั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58097-100-00-1302-1,กระสอบสานขาว 58x97 ซม.,#DIV/0!,"7,000",,"7,000","7,000",0,21/06/2024,21/06/2024,เกินปี,12. มีพีโอ ลูกค้ายังไม่รับสินค้า,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-58102-100-00-1233-1,กระสอบขาว 23x40 นิ้ว,#DIV/0!,"10,200",,"10,200","10,200",0,19/02/2026,14/02/2026,ไม่เกิน 30 วัน,,,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-60100-100-00-1086-1,กระสอบขาว,#DIV/0!,"7,000",,"7,000","7,000",0,15/02/2026,15/12/2025,ไม่เกิน 30 วัน,,,,,เครียร์ aging ที่เกินปี ตัดหมดม้วนเนื่องจาก ม้วนสต็อกปรับเข้ามาเพิ่ม ติดตามลูกค้าเปิดเคลียร์ให้คะ
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-61094-100-10-1252-1,กระสอบทอสาน 61*94 ซม. ไม่พิมพ์,#DIV/0!,"2,500",,"2,500","2,500",0,10/10/2024,11/01/2025,เกินปี,12. มีพีโอ ลูกค้ายังไม่รับสินค้า,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-66107-100-00-0565-1,"กระสอบขาวไม่พิมพ์ขนาด 26""x42""",-1,,,200,0,200,02/02/2024,17/04/2024,เกินปี,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,7. ขายเกรดบี,บมจ.  ไทยวา คุณเจี๊ยบ : ไม่มี PO ค้าง ล่าสุด 2022/2024 เคลียร์ออกได้เลยไม่ได้ใช้แล้ว ,02/02/2026 0:00,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-66107-100-00-1230-1,กระสอบขาว 26”x42” ตัดฟันปลา,#DIV/0!,,"5,000",991,991,0,09/09/2023,24/04/2025,เกินปี,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,บจ. อุตสาหกรรมปลาป่นภูเก็ต เนติพงษ์ : รอ PO ลูกค้า,30/03/2026 0:00,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-66114-100-00-0551-1,กระสอบขาว ไม่พิมพ์,-1,,,"8,249",0,"8,249",29/06/2025,24/01/2026,7-8 เดือน,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,2. กลุ่มสต๊อคเชฟตี้ ติดตามพีโอเพื่อส่งมอบสินค้า,ถุงฟาร์ม CPF ประมูลได้ที่อื่น ต้องรอดูการประมูลรอบหน้าเดือน มกราคม 2569 : แจ้งขอเคลียร์สต๊อกแล้วแต่ลูกค้ายังไม่เปิดมา,30/03/2026 0:00, ผลิตตัดเกิน job สั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-001-71104-100-00-0667-1,กระสอบขาว 28*41 นิ้ว,+10/-10 **ดูใน Long Description**,"30,000",,"30,000","30,000",0,11/02/2026,08/11/2025,ไม่เกิน 30 วัน,12. มีพีโอ ลูกค้ายังไม่รับสินค้า,,,,-
